location,property_type,bedrooms,bathrooms,area_sqft,age_years,floor,parking_spaces,metro_distance_km,clubhouse,swimming_pool,gym,security_rating,price_inr
DLF Phase 3,Apartment,2,3,752,13,32,3,3.36,1,1,1,1,29394584
Sector 70,Apartment,3,4,2371,21,22,3,9.86,0,0,1,3,43334408
Sector 56,Villa,1,2,906,6,38,2,0.73,0,0,1,5,21756843
Palam Vihar,Builder Floor,4,4,2447,2,14,1,4.63,1,1,1,4,51660680
Golf Course Extension Road,Apartment,3,4,2423,19,34,2,10.14,1,1,0,1,52146076
Sector 84,Apartment,2,3,1041,21,43,1,2.33,1,0,1,2,18911912
Golf Course Road,Apartment,2,3,1199,22,26,1,3.41,1,1,0,2,40098804
South City 1,Apartment,4,4,2764,5,40,2,13.2,0,0,1,5,52282286
Palam Vihar,Apartment,4,4,1979,20,13,2,10.15,0,1,1,1,40134657
DLF Phase 4,Apartment,3,3,1733,13,30,1,7.53,0,0,1,5,50485030
Sector 84,Apartment,2,2,1120,11,19,1,3.24,1,0,0,1,21824127
Sector 57,Apartment,3,4,1983,17,42,3,5.19,1,1,1,4,40112308
DLF Phase 4,Builder Floor,1,1,608,11,41,3,8.66,1,1,1,2,21830474
Golf Course Extension Road,Apartment,2,3,996,6,39,2,2.41,1,1,0,3,32788396
South City 1,Apartment,2,2,1115,4,3,2,7.28,1,0,1,5,21441914
DLF Phase 2,Builder Floor,2,2,1512,11,31,3,6.19,1,1,1,4,32988117
Sector 84,Apartment,3,3,2030,8,12,2,7.2,0,0,1,2,38082936
Sohna Road,Villa,5,5,3323,10,15,2,1.67,1,0,1,4,64237495
South City 1,Builder Floor,3,4,2747,3,38,1,1.69,1,0,1,3,46366951
Sector 82,Apartment,2,2,883,13,40,1,14.47,1,0,1,1,11936393
Sector 82,Apartment,3,4,2098,11,14,2,14.69,0,1,1,1,36608807
Sohna Road,Builder Floor,3,4,1823,17,35,1,6.45,0,0,1,4,36019501
Sector 83,Apartment,2,3,1296,6,16,1,11.86,1,1,1,4,22503989
Sector 89,Apartment,5,6,3127,22,24,2,9.87,0,1,1,5,62457987
Sector 54,Villa,3,4,1505,0,17,1,1.84,1,0,1,4,30679180
DLF Phase 2,Apartment,5,6,2275,12,18,3,4.52,0,1,1,1,48982224
South City 1,Apartment,3,4,1799,15,42,1,4.77,1,0,1,4,32623773
Sector 84,Builder Floor,3,3,1471,4,17,2,8.98,1,1,1,2,34232157
Sector 83,Apartment,2,3,1096,18,16,2,8.74,1,1,1,2,26691408
Sector 82,Apartment,3,3,2135,24,21,2,13.86,1,1,1,1,38038159
Sector 67,Villa,2,2,856,8,24,1,11.87,1,1,1,4,16007385
Sector 82,Apartment,4,5,2292,22,34,2,12.87,1,0,0,4,39323019
DLF Phase 4,Penthouse,4,5,2990,8,36,3,13.38,1,0,1,4,67616387
Sector 83,Villa,4,4,2115,11,43,4,12.04,0,1,1,2,39596770
Sector 65,Apartment,4,4,3222,17,27,2,5.06,0,0,1,1,54289565
DLF Phase 4,Apartment,4,5,1531,23,39,3,3.3,0,1,1,5,52322161
DLF Phase 3,Apartment,2,3,1709,9,17,0,8.62,0,1,0,2,39643927
Palam Vihar,Apartment,3,3,1807,16,25,3,10.37,1,0,1,1,34536913
Sector 84,Apartment,3,3,1241,18,38,4,5.86,1,0,1,1,21766652
Palam Vihar,Builder Floor,3,4,2149,23,42,2,12.74,1,0,1,5,36720089
Sector 85,Apartment,3,3,1980,10,21,3,14.41,0,1,1,3,37749599
Sector 85,Apartment,2,2,1587,15,4,2,8.58,1,0,1,5,26727525
South City 1,Villa,2,3,769,7,25,1,6.9,1,1,1,5,19454214
Sector 84,Apartment,4,4,1786,23,30,3,12.66,1,1,1,1,33370549
Sector 65,Builder Floor,3,4,2123,14,33,2,0.46,1,0,1,3,43907867
South City 1,Apartment,2,3,1913,10,39,2,2.02,1,1,1,3,35398292
New Gurgaon,Apartment,4,5,2722,6,26,2,12.7,1,1,0,4,49243166
DLF Phase 4,Builder Floor,4,4,2808,1,25,3,11.01,1,1,1,5,69700017
Sector 65,Builder Floor,2,3,986,18,16,2,6.3,1,1,0,5,20956450
South City 1,Villa,4,4,2298,8,24,1,13.34,1,0,1,3,46155877
Palam Vihar,Builder Floor,5,6,2566,17,5,2,5.34,0,0,1,3,46671813
New Gurgaon,Builder Floor,5,6,3351,12,42,4,9.54,1,1,1,3,60777005
Sector 92,Apartment,4,4,2920,22,39,2,9.55,1,0,0,1,51016894
Sector 82,Apartment,3,3,1878,0,13,3,2.85,0,0,1,1,35142672
South City 1,Builder Floor,3,3,2134,18,30,3,4.34,0,1,1,1,38744803
Sector 83,Builder Floor,1,2,595,12,7,2,13.75,1,1,1,5,12258229
DLF Phase 5,Penthouse,2,2,1570,13,17,1,2.83,1,0,1,3,43573972
New Gurgaon,Apartment,3,4,1438,16,27,1,2.69,1,1,0,1,29825895
Sector 82,Apartment,3,3,2394,21,35,2,7.25,0,0,1,4,39378891
Sector 84,Builder Floor,2,3,999,19,5,2,1.47,1,1,0,3,15678042
Sector 85,Apartment,3,4,1806,0,42,3,13.43,0,1,1,3,35485005
DLF Phase 5,Villa,2,3,865,4,5,3,1.59,1,1,0,3,37617438
Sector 67,Villa,4,5,2683,19,24,1,9.29,1,1,1,1,46822033
Sector 89,Apartment,2,2,1236,13,7,2,5.16,1,0,0,2,22899970
Sector 67,Builder Floor,3,3,2110,17,7,2,12.08,0,0,1,4,38027613
Sector 85,Builder Floor,3,4,1071,12,14,1,8.89,0,0,0,4,20891013
Sector 70,Apartment,1,2,618,22,15,2,5.89,0,0,1,2,12380296
DLF Phase 4,Villa,5,5,3282,11,5,3,14.76,1,1,1,4,73273656
DLF Phase 4,Apartment,3,3,1384,14,37,1,1.09,0,1,0,1,40799491
Sector 92,Builder Floor,2,2,1349,23,4,1,8.71,1,0,0,3,26592044
Sector 92,Apartment,2,2,556,3,30,1,14.84,1,1,0,2,10316144
Sector 89,Villa,2,2,1164,8,20,1,10.4,1,1,0,3,21794865
Sector 67,Apartment,1,1,797,2,26,2,11.12,0,0,0,4,11388229
Sector 65,Apartment,3,4,1742,21,9,1,0.58,0,0,1,5,37610003
Golf Course Extension Road,Villa,3,3,1497,10,30,3,0.42,1,1,1,4,41793026
Sector 65,Apartment,4,4,2363,14,44,1,0.64,1,0,1,4,50953359
New Gurgaon,Apartment,3,4,1841,15,22,2,14.88,1,1,0,2,36567072
DLF Phase 4,Villa,2,2,1450,6,40,1,14.69,0,1,0,3,41043636
DLF Phase 2,Villa,2,2,1236,6,41,4,5.08,1,1,1,2,27857789
DLF Phase 2,Apartment,3,3,2120,21,44,2,4.44,1,0,1,1,43327303
DLF Phase 5,Builder Floor,2,3,1225,8,30,3,2.27,1,1,0,3,41787458
South City 1,Apartment,1,1,495,16,20,3,5.0,1,1,1,1,10282569
Sector 56,Apartment,4,5,1614,12,28,2,5.62,1,0,0,1,34045054
Sector 56,Apartment,1,1,652,8,7,3,11.25,1,0,0,2,8880957
Sector 57,Builder Floor,4,5,1016,8,4,1,13.01,1,1,1,4,24949632
Sector 67,Builder Floor,2,2,705,19,28,2,11.23,1,1,0,5,15160180
Golf Course Extension Road,Builder Floor,5,5,2021,11,35,1,9.73,0,1,1,4,61186872
DLF Phase 5,Builder Floor,3,3,2100,20,33,3,11.51,1,1,1,4,52473056
Sector 56,Apartment,4,5,1565,18,7,4,11.1,1,1,1,3,33670462
Sector 56,Apartment,2,2,1331,22,9,3,7.19,0,0,1,2,21322716
Golf Course Road,Apartment,4,4,1822,14,34,1,5.1,1,0,0,3,60195953
Sector 89,Apartment,4,5,2317,17,39,1,4.31,1,0,1,5,46738409
New Gurgaon,Apartment,3,4,1773,7,42,1,10.22,0,0,1,2,29221652
Sohna Road,Villa,3,4,1732,24,34,1,14.39,1,1,1,4,31786125
DLF Phase 1,Apartment,4,4,2037,5,13,1,8.76,0,1,0,1,33379590
Sector 84,Apartment,1,2,450,24,29,1,13.7,1,1,1,4,10594030
Golf Course Extension Road,Apartment,3,3,1811,5,35,4,0.31,1,0,1,4,44145527
Sector 70,Builder Floor,4,5,2712,2,10,2,11.94,1,0,1,2,48258629
New Gurgaon,Apartment,3,4,2085,2,30,2,12.82,1,1,1,4,41362390
New Gurgaon,Apartment,2,2,1222,1,44,2,9.5,1,0,1,5,22552969
Sector 84,Apartment,3,3,1908,4,26,2,14.02,0,0,1,4,36198251
Sector 57,Builder Floor,4,4,1968,19,35,4,8.89,1,0,0,1,43057273
Sector 84,Apartment,2,2,1325,11,28,2,3.68,1,0,0,2,27627330
DLF Phase 5,Builder Floor,2,3,1315,5,29,1,3.31,0,1,1,5,43173985
Sector 92,Builder Floor,2,3,1116,15,6,2,8.38,1,1,1,2,20986721
Sohna Road,Apartment,4,5,2426,4,3,4,13.61,0,1,0,1,42446859
Golf Course Road,Apartment,2,2,1192,5,29,1,1.18,0,1,0,3,48773733
Sector 54,Penthouse,3,3,1991,3,2,2,9.11,0,0,0,5,38564807
Sector 89,Apartment,3,4,1151,13,22,1,11.57,0,1,1,1,20955930
DLF Phase 4,Apartment,4,5,1524,2,27,1,1.82,1,0,1,3,51511320
Sector 85,Builder Floor,5,5,1941,16,22,3,1.84,1,0,1,1,37253256
DLF Phase 1,Villa,2,3,1075,4,10,1,5.56,1,1,1,3,24166303
Sector 67,Penthouse,2,3,1327,21,19,1,4.18,1,0,1,3,27858976
Sector 70,Builder Floor,4,5,1142,20,24,1,3.05,1,0,1,2,29169634
DLF Phase 1,Apartment,2,2,1226,20,27,4,3.06,1,0,1,4,24273570
Sector 54,Apartment,2,3,1534,5,36,1,2.05,1,0,1,4,33051346
Sector 84,Builder Floor,4,4,2552,19,43,3,9.2,0,0,0,1,43723840
DLF Phase 4,Apartment,5,6,1586,3,17,1,10.35,1,0,1,3,46089387
Sector 65,Apartment,3,3,2018,12,10,3,10.57,1,0,1,4,41353422
Sector 56,Villa,2,3,1267,7,17,4,8.03,1,1,1,1,28064761
Golf Course Road,Apartment,3,4,1656,10,44,1,14.3,1,0,1,1,53817819
DLF Phase 1,Apartment,2,3,1250,23,10,1,13.22,1,0,1,5,21798324
Golf Course Extension Road,Apartment,4,4,1618,18,10,1,14.37,1,0,1,2,46048129
New Gurgaon,Apartment,4,5,2428,22,38,3,5.89,1,1,1,2,48555427
Sector 83,Apartment,4,5,2668,4,17,1,13.18,1,1,1,3,49914655
Sector 70,Apartment,1,1,502,4,26,1,11.47,1,1,1,4,14500912
South City 1,Apartment,3,3,1602,2,26,1,5.17,1,1,1,3,35607550
Sector 92,Builder Floor,2,3,1041,1,34,1,1.69,1,0,1,4,21604264
Sector 92,Builder Floor,3,4,1600,2,4,1,10.27,0,0,0,4,38311098
Golf Course Road,Apartment,4,5,1935,14,27,3,2.13,0,1,0,4,59694738
Palam Vihar,Penthouse,2,3,984,6,21,3,4.48,1,1,1,4,16681874
DLF Phase 5,Apartment,3,4,2016,2,36,2,7.56,1,0,1,4,53435451
New Gurgaon,Apartment,3,3,1068,14,38,2,10.23,1,1,0,5,26824681
Sector 85,Villa,5,6,3128,10,31,2,13.9,1,1,1,5,63422549
Sector 82,Apartment,4,4,2687,15,7,2,8.94,1,1,0,4,46483554
Golf Course Road,Penthouse,4,4,1642,12,44,2,10.1,1,1,0,1,53899474
Sector 89,Apartment,3,4,1767,1,34,2,4.72,1,1,1,1,34551796
DLF Phase 1,Penthouse,2,2,943,19,18,2,10.34,1,0,1,2,19622572
DLF Phase 1,Apartment,3,4,2277,11,24,2,6.62,0,0,0,4,37360611
Sector 67,Villa,3,3,1713,20,13,1,12.87,1,0,1,1,32831945
DLF Phase 3,Apartment,3,3,2418,6,13,1,5.95,1,0,1,2,54124947
Sector 56,Penthouse,3,4,2355,0,25,1,7.08,0,1,1,1,41900059
New Gurgaon,Apartment,3,4,1929,13,5,2,6.55,1,0,1,2,34956470
DLF Phase 3,Apartment,2,2,1799,23,39,1,12.19,1,1,0,3,37935839
Sector 57,Penthouse,2,3,759,9,29,2,14.31,0,1,0,1,14195038
Sohna Road,Apartment,3,4,2407,2,44,2,4.98,1,1,1,4,44075808
DLF Phase 3,Builder Floor,3,3,1687,10,33,3,7.18,0,1,1,4,49467061
Sector 67,Builder Floor,3,3,1746,21,24,1,10.62,0,1,1,5,33251845
Golf Course Road,Apartment,3,3,1606,19,10,2,13.44,1,0,0,3,53394771
Sector 67,Builder Floor,2,3,793,20,25,2,7.46,1,1,0,3,16670126
South City 1,Apartment,4,5,2718,14,41,1,1.72,0,0,1,1,50872073
Sector 92,Villa,4,5,1705,5,10,2,5.59,1,0,1,2,36188891
Sector 92,Apartment,3,3,1551,17,39,3,8.3,0,1,0,5,33169734
Sector 65,Apartment,3,4,1570,12,16,1,6.32,0,0,1,3,30763905
Sector 67,Villa,3,3,2218,14,28,3,2.88,0,0,1,3,38245996
DLF Phase 2,Villa,3,3,1769,2,12,3,0.65,0,1,0,4,28148417
New Gurgaon,Apartment,4,4,1031,14,44,2,10.34,1,1,0,4,22618861
South City 1,Builder Floor,3,3,1422,23,32,3,14.89,1,1,0,2,25316468
Sector 83,Apartment,3,3,1143,23,29,2,13.8,0,0,1,1,20792376
South City 1,Apartment,3,3,2011,0,27,2,10.28,1,0,1,2,34508168
Golf Course Road,Apartment,3,3,1303,9,26,4,12.64,1,1,1,1,42564105
Sector 89,Apartment,3,4,1545,23,3,1,3.91,0,1,1,5,36774441
New Gurgaon,Apartment,3,3,2535,17,26,1,9.37,1,1,1,3,43951967
Sector 67,Apartment,3,4,2067,7,39,1,1.0,1,1,0,2,38944831
Sector 84,Penthouse,2,3,873,11,1,2,10.64,0,1,1,1,17934442
South City 1,Penthouse,5,6,3577,4,35,1,14.55,1,1,1,5,63430520
Sector 57,Builder Floor,4,5,1998,0,27,3,12.93,0,0,0,2,43120720
Sector 84,Apartment,3,4,2145,7,4,2,8.06,0,1,0,3,38183889
DLF Phase 2,Apartment,3,3,1626,4,19,3,11.85,1,1,1,5,31059123
Sector 89,Builder Floor,1,2,465,16,22,1,14.16,1,0,1,4,6071821
Sector 89,Builder Floor,1,2,452,14,6,1,3.32,1,1,0,3,7724619
Golf Course Extension Road,Apartment,2,3,1280,3,9,1,11.92,1,1,1,4,33915390
Palam Vihar,Villa,3,3,2183,12,11,1,4.12,1,0,1,5,41705107
Sector 56,Builder Floor,4,5,2608,16,22,2,13.17,1,1,0,5,49904236
Sector 56,Villa,3,4,1618,12,9,3,1.57,1,0,1,4,29653073
Sector 92,Builder Floor,3,4,1045,24,29,1,2.76,1,1,1,1,21828933
Sector 57,Apartment,3,4,1531,1,43,2,10.84,1,1,0,5,32659086
Sector 84,Apartment,2,2,849,23,10,2,2.7,1,1,1,2,15578689
Sector 82,Villa,2,3,1583,3,34,0,2.46,0,0,1,2,31689153
DLF Phase 2,Villa,4,4,2176,24,31,2,8.38,1,0,1,5,45605647
DLF Phase 4,Apartment,5,5,3210,1,22,1,12.54,0,1,0,4,76465111
Sector 89,Apartment,3,4,1655,11,4,3,4.1,1,0,1,4,33823259
Sector 84,Apartment,3,4,1980,18,2,3,12.63,0,0,1,3,32769393
DLF Phase 5,Builder Floor,4,4,2802,17,5,1,12.14,1,0,0,4,62866465
Golf Course Extension Road,Penthouse,2,3,1851,9,15,2,8.73,0,1,0,1,41261289
Sector 85,Apartment,4,5,2144,4,19,1,9.73,1,0,1,1,44544661
New Gurgaon,Apartment,3,4,2238,10,38,2,0.7,0,1,1,2,39173871
Palam Vihar,Apartment,3,3,1916,0,15,3,5.57,1,1,1,5,42827797
Golf Course Extension Road,Penthouse,2,2,1038,2,8,3,4.02,1,1,0,2,33184130
Sector 84,Villa,3,4,1587,16,20,1,2.34,0,1,1,5,28586540
Golf Course Extension Road,Builder Floor,4,5,2663,14,12,1,5.91,1,0,0,2,61550561
DLF Phase 4,Apartment,2,2,1116,13,4,2,5.39,1,1,0,5,34519419
Sohna Road,Apartment,3,3,1844,23,38,4,10.96,1,0,1,5,36178610
Sector 67,Apartment,2,2,1386,14,43,3,9.01,1,1,0,2,22368066
DLF Phase 4,Apartment,4,4,3797,15,39,1,13.71,0,1,1,3,72745218
Golf Course Road,Villa,3,3,1813,3,36,3,2.27,1,0,1,1,56632675
DLF Phase 5,Builder Floor,4,4,1768,18,15,3,0.99,0,0,1,4,49785905
Sector 65,Penthouse,3,3,1967,23,1,1,8.07,0,0,1,1,35632780
DLF Phase 4,Penthouse,2,3,1064,24,31,3,0.12,0,1,1,4,39365263
Sector 57,Apartment,1,1,865,7,9,1,11.84,0,1,1,5,13137587
DLF Phase 4,Builder Floor,2,2,1060,5,23,1,7.64,1,1,0,2,40672239
Sector 89,Villa,2,3,1205,15,26,1,7.37,1,0,0,2,19217396
Sector 70,Villa,3,4,2061,2,40,2,5.5,1,1,1,4,40072147
DLF Phase 5,Apartment,1,2,668,7,44,3,5.69,0,1,1,2,28329099
Sector 85,Apartment,3,3,2383,4,39,2,6.52,1,1,0,2,38580486
Sector 56,Apartment,3,3,2080,4,18,1,0.34,0,0,0,2,39863194
Sector 89,Villa,3,4,2784,11,33,1,1.34,0,0,1,1,53126975
Sector 65,Apartment,3,4,1988,24,41,2,7.63,1,1,1,2,34637746
Sector 85,Apartment,3,4,2345,0,39,2,2.34,1,0,1,3,45139616
Sector 84,Builder Floor,5,5,2671,6,14,2,11.7,1,1,0,4,48936051
Sector 54,Apartment,2,3,1752,23,1,1,4.19,1,1,1,1,28241588
DLF Phase 3,Apartment,3,3,1653,10,13,3,1.56,0,0,1,1,37724672
South City 1,Apartment,3,3,2424,9,15,3,3.6,0,0,0,5,48280497
Sector 84,Builder Floor,3,3,2174,2,37,2,5.42,1,1,0,5,38215170
DLF Phase 1,Apartment,3,3,1828,7,5,2,0.63,1,0,1,2,36107936
Sector 82,Builder Floor,3,4,2428,0,14,3,2.21,0,0,1,1,50208175
Sector 57,Apartment,3,4,1794,7,14,2,4.93,1,1,0,1,35638445
Sector 82,Villa,3,4,2374,22,5,2,4.73,1,1,0,2,41581502
DLF Phase 3,Apartment,5,5,3264,19,11,2,12.03,1,1,0,4,70362993
Palam Vihar,Apartment,5,6,2735,10,32,1,12.66,0,1,1,1,48387179
Sector 89,Villa,2,2,1289,6,5,2,2.98,1,1,1,5,21097814
Sector 67,Apartment,2,2,1209,15,36,3,1.95,0,1,1,2,23879047
Sector 65,Apartment,4,4,2152,6,15,1,9.55,0,1,1,1,41860012
Sector 92,Apartment,5,6,3163,12,7,3,12.09,1,1,1,5,61493147
DLF Phase 1,Builder Floor,2,2,1313,9,5,2,14.46,1,1,0,3,15828075
New Gurgaon,Builder Floor,3,3,769,16,30,2,0.2,1,1,1,1,15888793
Sector 84,Builder Floor,5,6,3350,2,15,2,6.26,0,1,1,2,64314545
Sector 67,Apartment,3,4,2111,6,30,2,11.04,1,1,0,5,39429411
DLF Phase 1,Apartment,2,3,1606,10,14,3,12.45,0,1,0,1,30314801
Sector 56,Apartment,3,3,1280,12,24,2,1.03,1,0,1,5,29047982
Sector 82,Apartment,5,5,2287,4,24,3,10.24,1,1,1,2,51537556
Golf Course Extension Road,Apartment,4,5,2517,24,35,2,4.41,0,0,1,1,60879602
Palam Vihar,Apartment,4,4,2000,22,5,2,1.21,0,0,0,2,39837933
Sector 85,Apartment,4,4,1733,18,12,4,7.39,0,1,0,4,34940695
Sector 83,Villa,2,3,1084,14,20,1,2.46,1,0,0,1,21743005
Sector 70,Apartment,4,5,2198,0,5,2,11.08,1,0,0,1,44509468
Sector 85,Apartment,2,3,915,4,36,1,11.14,0,0,1,5,22550350
Golf Course Extension Road,Builder Floor,5,6,2284,12,21,3,12.65,1,0,0,1,56544570
Sector 84,Apartment,3,4,1749,9,39,2,5.73,1,0,1,4,36137054
Sector 85,Builder Floor,4,5,1588,4,3,3,0.3,1,1,1,5,33979993
Sector 65,Villa,2,3,789,22,29,3,3.97,1,1,1,5,16656682
Sohna Road,Villa,3,4,1830,0,25,1,7.07,1,0,1,3,37199808
Palam Vihar,Apartment,2,2,1621,9,27,1,10.44,0,1,0,1,28251040
DLF Phase 2,Villa,3,3,2107,17,36,2,5.79,1,1,1,3,40548572
Golf Course Extension Road,Apartment,4,4,3084,21,22,2,8.09,1,0,1,4,64161063
DLF Phase 4,Apartment,3,3,1041,7,38,1,7.91,0,1,1,1,37905023
Sector 85,Apartment,3,3,1208,19,35,1,2.56,1,0,0,3,23048327
Golf Course Road,Penthouse,1,1,601,2,1,2,9.38,0,1,1,3,39515969
Sector 57,Apartment,5,5,3585,18,3,0,6.64,0,0,1,5,59498194
Sector 57,Apartment,3,3,2067,18,24,3,12.14,0,1,1,3,42793190
Sector 70,Builder Floor,4,4,1647,1,8,3,10.39,1,0,1,3,37947371
Sohna Road,Apartment,4,4,3035,16,39,3,1.76,1,1,0,1,47008365
Sector 89,Apartment,4,4,2354,15,18,0,7.38,0,0,1,1,41159859
DLF Phase 3,Apartment,3,4,2126,20,41,0,10.57,0,1,1,5,48211425
Sector 85,Apartment,4,4,2061,9,3,2,1.4,1,0,1,1,41476407
DLF Phase 5,Apartment,3,4,1151,20,18,4,11.91,1,0,0,4,36801606
Sector 70,Apartment,4,4,2873,15,16,1,3.41,1,0,1,5,49417077
DLF Phase 4,Builder Floor,4,5,2663,4,32,1,7.6,1,0,1,4,66343436
Golf Course Extension Road,Apartment,1,1,450,19,1,1,14.11,1,1,0,1,13805878
Sector 92,Apartment,3,4,1519,2,26,2,8.61,1,0,1,1,33751630
Sector 65,Villa,1,1,696,2,12,2,6.42,0,1,0,5,13106948
DLF Phase 2,Apartment,2,3,1257,1,38,1,0.2,0,1,0,3,27676066
Sector 54,Builder Floor,3,3,2010,20,21,2,2.09,1,0,1,2,33360206
Sector 70,Apartment,4,5,2106,3,41,2,8.72,1,0,1,2,38580939
Palam Vihar,Apartment,2,2,1598,21,13,2,7.46,1,1,0,1,29737110
South City 1,Apartment,3,4,1753,17,12,2,5.52,0,1,1,4,33548481
Sector 83,Apartment,4,5,1074,1,13,3,13.86,0,0,0,5,21929205
Sector 92,Apartment,4,5,2459,23,18,2,5.05,1,1,0,3,43475441
Golf Course Road,Apartment,3,4,2054,5,19,2,8.1,1,1,1,1,61874371
South City 1,Apartment,4,5,2566,2,19,3,8.57,1,0,1,4,45852711
DLF Phase 4,Apartment,3,4,1620,20,6,3,7.96,0,1,0,1,36472708
Sector 82,Apartment,2,3,652,2,7,1,7.22,1,0,1,2,11552471
DLF Phase 1,Apartment,2,3,1018,1,7,1,5.12,1,0,1,1,23980205
Golf Course Extension Road,Apartment,2,2,1044,2,28,3,13.64,1,0,0,4,27374375
Sector 65,Apartment,3,3,1523,16,28,1,6.82,0,1,1,2,31784003
Sector 56,Builder Floor,5,5,3428,13,19,3,7.97,1,1,0,1,63726464
DLF Phase 5,Apartment,4,5,2213,6,16,0,9.88,1,0,1,2,58721765
Sector 65,Builder Floor,3,4,2380,21,17,3,1.11,1,0,1,5,47175135
Sector 85,Builder Floor,3,3,1705,20,22,2,11.74,1,1,1,4,27551789
Sector 56,Apartment,2,2,1540,5,19,3,7.74,0,0,0,4,25860484
Golf Course Road,Villa,3,4,1890,7,29,1,9.89,0,1,1,5,58049274
Sector 65,Villa,4,5,2547,18,19,4,11.6,1,0,1,4,46133949
Golf Course Extension Road,Apartment,2,2,1008,18,35,1,13.12,1,1,1,4,30576056
Sector 85,Apartment,1,2,450,11,25,1,5.94,1,0,1,1,10776794
DLF Phase 2,Builder Floor,3,3,1769,4,20,1,12.19,0,1,1,3,31574415
Sector 56,Builder Floor,3,4,2508,4,37,3,3.96,0,0,1,1,50175150
Sector 82,Apartment,3,3,1607,13,19,2,9.94,0,1,1,5,28217195
Sector 65,Apartment,3,3,1540,16,42,2,1.63,0,1,1,5,30275284
Sector 84,Apartment,3,4,1727,15,13,2,0.4,1,0,1,3,35698100
DLF Phase 4,Apartment,2,2,1695,3,12,3,1.53,1,1,1,1,46835116
Golf Course Extension Road,Apartment,3,4,2130,24,15,2,4.86,0,0,1,1,44655759
Sector 57,Apartment,3,4,2309,7,4,2,0.56,1,0,1,1,43305719
Sector 89,Apartment,4,5,1291,2,15,2,9.49,1,1,1,2,28472813
South City 1,Builder Floor,5,6,2422,20,17,3,4.82,0,0,0,2,52575171
Golf Course Extension Road,Apartment,4,5,1957,4,27,1,11.07,1,0,1,1,55623113
South City 1,Apartment,3,3,2277,22,11,1,0.78,0,0,1,2,39803740
DLF Phase 2,Builder Floor,3,4,2077,23,23,1,3.33,1,1,0,1,36215805
Golf Course Road,Villa,3,4,2243,24,15,1,6.18,0,1,1,5,64879709
Sector 85,Apartment,5,5,1687,6,31,2,5.8,1,0,1,1,42168739
Golf Course Road,Apartment,2,3,1510,17,26,2,2.05,1,1,1,2,51631717
Sector 67,Apartment,3,3,2076,23,7,4,14.91,0,0,1,3,39212060
Sector 89,Apartment,3,4,1411,7,13,1,4.34,0,0,1,5,30806430
DLF Phase 2,Apartment,3,3,1717,10,13,3,10.84,0,1,1,4,33335877
Sector 65,Apartment,2,3,949,13,20,2,3.38,1,1,1,3,21496086
Sector 82,Apartment,3,4,1759,17,34,1,13.18,1,0,1,3,30216798
Sector 70,Apartment,4,5,2651,12,10,2,5.88,0,1,1,4,52508232
Golf Course Road,Apartment,3,4,2389,5,37,4,13.52,0,0,1,5,64751557
Sector 85,Apartment,4,5,1873,12,27,1,5.19,1,0,1,4,39715438
DLF Phase 5,Apartment,3,3,1602,0,34,2,0.23,0,1,0,5,51118368
Sector 85,Apartment,5,5,2227,10,36,1,7.8,1,1,1,5,48148680
DLF Phase 3,Apartment,3,4,2121,6,16,1,7.92,0,1,1,5,50818011
DLF Phase 3,Villa,3,3,1138,9,21,2,1.89,1,1,1,3,39386698
Palam Vihar,Apartment,1,2,624,1,16,3,3.6,1,0,1,5,13280832
Palam Vihar,Builder Floor,2,3,856,15,17,2,11.77,0,1,0,4,14750421
Sector 56,Builder Floor,3,4,1819,4,15,2,0.65,1,0,1,3,39296754
Sector 89,Apartment,3,3,2285,15,13,3,7.39,1,1,1,5,47083433
DLF Phase 3,Apartment,3,4,1585,22,33,1,8.0,0,1,1,2,38493458
Sector 65,Apartment,2,2,1261,15,5,3,10.36,0,1,1,2,24233862
Sector 83,Apartment,4,5,1899,14,27,2,0.66,0,1,0,5,37043012
Sector 84,Builder Floor,4,5,2337,8,1,3,8.83,1,0,1,2,44101704
Golf Course Extension Road,Apartment,2,2,763,0,44,3,0.15,0,1,1,1,31004622
Sector 67,Apartment,3,4,2097,8,30,3,4.05,1,0,1,3,41317229
DLF Phase 2,Apartment,4,4,2167,10,23,1,7.55,1,1,1,1,42914457
DLF Phase 4,Apartment,3,4,1712,4,15,2,13.68,1,1,1,3,48217618
Sector 56,Builder Floor,2,3,1219,5,36,2,1.99,1,0,0,4,20748933
Golf Course Extension Road,Apartment,3,4,973,7,19,2,2.62,1,1,1,2,32683728
Sector 84,Apartment,2,2,1006,14,30,2,10.07,1,1,0,2,22725659
Sector 92,Penthouse,2,3,1237,15,16,0,5.69,1,1,0,2,21581535
Golf Course Road,Apartment,2,2,1155,17,18,1,9.39,0,0,1,5,42211512
Sector 89,Apartment,3,4,2714,11,26,1,14.96,0,1,1,3,46827229
DLF Phase 5,Apartment,2,3,1552,22,17,3,14.8,0,1,1,5,51149703
Sector 56,Apartment,5,5,3097,3,11,3,5.37,1,1,1,2,59909610
Sector 57,Apartment,2,3,913,24,29,1,7.61,0,0,1,4,19508239
Sector 67,Apartment,2,3,1061,21,9,3,13.58,0,1,0,2,15256854
Sector 89,Apartment,3,3,2076,15,17,1,1.47,1,1,1,5,37947000
New Gurgaon,Apartment,2,2,1221,22,27,2,6.84,1,1,1,2,23328210
Golf Course Road,Apartment,3,3,2335,10,37,1,5.73,1,0,1,1,65435687
